region,plant_type_full,Value
FL,ngcc_Nccs,30.25
FL,ngtb_N,6.7
FL,nuc_N,88.75
FL,bio_N,100.5
FL,lfg_N_hi,373.76
FL,lfg_N_lo,373.76
FL,lfg_N_vl,373.76
FL,fc_N,5.778270638
FL,slrPV_N,16.7
FL,slrCSP_N,64
FL,wnd_Nonsh_3,28.07
FL,wnd_Nonsh_4,28.07
FL,wnd_Nonsh_5,28.07
FL,wnd_Nonsh_6,28.07
FL,wnd_Nonsh_7,28.07
FL,wnd_Nshal_3,53.33
FL,wnd_Nshal_4,53.33
FL,wnd_Nshal_5,53.33
FL,wnd_Nshal_6,53.33
FL,wnd_Nshal_7,53.33
FL,wnd_Ndeep_3,53.33
FL,wnd_Ndeep_4,53.33
FL,wnd_Ndeep_5,53.33
FL,wnd_Ndeep_6,53.33
FL,wnd_Ndeep_7,53.33
SAC,col_N,48.9
SAC,col_Nccs,63.21
SAC,ngcc_N,14.62
SAC,ngcc_Nccs,30.25
SAC,ngtb_N,6.7
SAC,nuc_N,88.75
SAC,bio_N,100.5
SAC,lfg_N_hi,373.76
SAC,lfg_N_lo,373.76
SAC,lfg_N_vl,373.76
SAC,fc_N,5.778270638
SAC,slrPV_N,16.7
SAC,slrCSP_N,64
SAC,wnd_Nonsh_3,28.07
SAC,wnd_Nonsh_4,28.07
SAC,wnd_Nonsh_5,28.07
SAC,wnd_Nonsh_6,28.07
SAC,wnd_Nonsh_7,28.07
SAC,wnd_Nshal_3,53.33
SAC,wnd_Nshal_4,53.33
SAC,wnd_Nshal_5,53.33
SAC,wnd_Nshal_6,53.33
SAC,wnd_Nshal_7,53.33
SAC,wnd_Ndeep_3,53.33
SAC,wnd_Ndeep_4,53.33
SAC,wnd_Ndeep_5,53.33
SAC,wnd_Ndeep_6,53.33
SAC,wnd_Ndeep_7,53.33
ESC,col_N,48.9
ESC,col_Nccs,63.21
ESC,ngcc_N,14.62
ESC,ngcc_Nccs,30.25
ESC,ngtb_N,6.7
ESC,nuc_N,88.75
ESC,bio_N,100.5
ESC,lfg_N_hi,373.76
ESC,lfg_N_lo,373.76
ESC,lfg_N_vl,373.76
ESC,fc_N,5.778270638
ESC,slrPV_N,16.7
ESC,slrCSP_N,64
ESC,wnd_Nonsh_3,28.07
ESC,wnd_Nonsh_4,28.07
ESC,wnd_Nonsh_5,28.07
ESC,wnd_Nonsh_6,28.07
ESC,wnd_Nonsh_7,28.07
ESC,wnd_Nshal_3,53.33
ESC,wnd_Nshal_4,53.33
ESC,wnd_Nshal_5,53.33
ESC,wnd_Nshal_6,53.33
ESC,wnd_Nshal_7,53.33
ESC,wnd_Ndeep_3,53.33
ESC,wnd_Ndeep_4,53.33
ESC,wnd_Ndeep_5,53.33
ESC,wnd_Ndeep_6,53.33
ESC,wnd_Ndeep_7,53.33
TX,col_N,48.9
TX,col_Nccs,63.21
TX,ngcc_N,14.62
TX,ngcc_Nccs,30.25
TX,ngtb_N,6.7
TX,nuc_N,88.75
TX,bio_N,100.5
TX,lfg_N_hi,373.76
TX,lfg_N_lo,373.76
TX,lfg_N_vl,373.76
TX,fc_N,5.778270638
TX,geo_N_1,185.1
TX,geo_N_2,206.8
TX,geo_N_3,201.1
TX,geo_N_4,192.2
TX,geo_N_5,218.8
TX,slrPV_N,16.7
TX,slrCSP_N,64
TX,wnd_Nonsh_3,28.07
TX,wnd_Nonsh_4,28.07
TX,wnd_Nonsh_5,28.07
TX,wnd_Nonsh_6,28.07
TX,wnd_Nonsh_7,28.07
TX,wnd_Nshal_3,53.33
TX,wnd_Nshal_4,53.33
TX,wnd_Nshal_5,53.33
TX,wnd_Nshal_6,53.33
TX,wnd_Nshal_7,53.33
TX,wnd_Ndeep_3,53.33
TX,wnd_Ndeep_4,53.33
TX,wnd_Ndeep_5,53.33
TX,wnd_Ndeep_6,53.33
TX,wnd_Ndeep_7,53.33
WSC,col_N,48.9
WSC,col_Nccs,63.21
WSC,ngcc_N,14.62
WSC,ngcc_Nccs,30.25
WSC,ngtb_N,6.7
WSC,nuc_N,88.75
WSC,bio_N,100.5
WSC,lfg_N_hi,373.76
WSC,lfg_N_lo,373.76
WSC,lfg_N_vl,373.76
WSC,fc_N,5.778270638
WSC,slrPV_N,16.7
WSC,slrCSP_N,64
WSC,wnd_Nonsh_3,28.07
WSC,wnd_Nonsh_4,28.07
WSC,wnd_Nonsh_5,28.07
WSC,wnd_Nonsh_6,28.07
WSC,wnd_Nonsh_7,28.07
WSC,wnd_Nshal_3,53.33
WSC,wnd_Nshal_4,53.33
WSC,wnd_Nshal_5,53.33
WSC,wnd_Nshal_6,53.33
WSC,wnd_Nshal_7,53.33
WSC,wnd_Ndeep_3,53.33
WSC,wnd_Ndeep_4,53.33
WSC,wnd_Ndeep_5,53.33
WSC,wnd_Ndeep_6,53.33
WSC,wnd_Ndeep_7,53.33
MTN,col_N,48.9
MTN,col_Nccs,63.21
MTN,ngcc_N,14.62
MTN,ngcc_Nccs,30.25
MTN,ngtb_N,6.7
MTN,nuc_N,88.75
MTN,bio_N,100.5
MTN,lfg_N_hi,373.76
MTN,lfg_N_lo,373.76
MTN,lfg_N_vl,373.76
MTN,fc_N,5.778270638
MTN,geo_N_1,184.4862849
MTN,geo_N_2,201.3010158
MTN,geo_N_3,190.1319539
MTN,geo_N_4,182.3126614
MTN,geo_N_5,181.770855
MTN,geo_N_6,185.1
MTN,geo_N_7,183
MTN,geo_N_8,218.8
MTN,geo_N_9,185.1
MTN,geo_N_10,185.1
MTN,slrPV_N,16.7
MTN,slrCSP_N,64
MTN,wnd_Nonsh_3,28.07
MTN,wnd_Nonsh_4,28.07
MTN,wnd_Nonsh_5,28.07
MTN,wnd_Nonsh_6,28.07
MTN,wnd_Nonsh_7,28.07
MTN,wnd_Nshal_3,53.33
MTN,wnd_Nshal_4,53.33
MTN,wnd_Nshal_5,53.33
MTN,wnd_Nshal_6,53.33
MTN,wnd_Nshal_7,53.33
MTN,wnd_Ndeep_3,53.33
MTN,wnd_Ndeep_4,53.33
MTN,wnd_Ndeep_5,53.33
MTN,wnd_Ndeep_6,53.33
MTN,wnd_Ndeep_7,53.33
CA,col_N,48.9
CA,col_Nccs,63.21
CA,ngcc_N,14.62
CA,ngcc_Nccs,30.25
CA,ngtb_N,6.7
CA,nuc_N,88.75
CA,bio_N,100.5
CA,lfg_N_hi,373.76
CA,lfg_N_lo,373.76
CA,lfg_N_vl,373.76
CA,fc_N,5.778270638
CA,geo_N_1,185.0788493
CA,geo_N_2,195.596738
CA,geo_N_3,205.2565852
CA,geo_N_4,186.0351234
CA,geo_N_5,185.2447964
CA,geo_N_6,185.1
CA,slrPV_N,16.7
CA,slrCSP_N,64
CA,wnd_Nonsh_3,28.07
CA,wnd_Nonsh_4,28.07
CA,wnd_Nonsh_5,28.07
CA,wnd_Nonsh_6,28.07
CA,wnd_Nonsh_7,28.07
CA,wnd_Nshal_3,53.33
CA,wnd_Nshal_4,53.33
CA,wnd_Nshal_5,53.33
CA,wnd_Nshal_6,53.33
CA,wnd_Nshal_7,53.33
CA,wnd_Ndeep_3,53.33
CA,wnd_Ndeep_4,53.33
CA,wnd_Ndeep_5,53.33
CA,wnd_Ndeep_6,53.33
CA,wnd_Ndeep_7,53.33
PAC,col_N,48.9
PAC,col_Nccs,63.21
PAC,ngcc_N,14.62
PAC,ngcc_Nccs,30.25
PAC,ngtb_N,6.7
PAC,nuc_N,88.75
PAC,bio_N,100.5
PAC,lfg_N_hi,373.76
PAC,lfg_N_lo,373.76
PAC,lfg_N_vl,373.76
PAC,fc_N,5.778270638
PAC,geo_N_1,151.5
PAC,geo_N_2,151.5
PAC,geo_N_3,156.3
PAC,geo_N_4,190.3
PAC,slrPV_N,16.7
PAC,slrCSP_N,64
PAC,wnd_Nonsh_3,28.07
PAC,wnd_Nonsh_4,28.07
PAC,wnd_Nonsh_5,28.07
PAC,wnd_Nonsh_6,28.07
PAC,wnd_Nonsh_7,28.07
PAC,wnd_Nshal_3,53.33
PAC,wnd_Nshal_4,53.33
PAC,wnd_Nshal_5,53.33
PAC,wnd_Nshal_6,53.33
PAC,wnd_Nshal_7,53.33
PAC,wnd_Ndeep_3,53.33
PAC,wnd_Ndeep_4,53.33
PAC,wnd_Ndeep_5,53.33
PAC,wnd_Ndeep_6,53.33
PAC,wnd_Ndeep_7,53.33
