region,fuel_type,year,Value_old
MID,nuc,2015,0.75
MID,nuc,2020,0.76
MID,nuc,2025,0.8
MID,nuc,2030,0.84
MID,nuc,2035,0.88
MID,nuc,2040,0.888622833
MID,nuc,2045,0.896410483
MID,nuc,2050,0.903905224
MID,nuc,2075,0.942329406
ENC,COL,2010,1.939640877
ENC,COL,2015,2.05439349
ENC,COL,2020,2.018587188
ENC,COL,2025,2.03456909
ENC,COL,2030,2.076103081
ENC,COL,2035,2.134544058
ENC,COL,2040,2.163403079
ENC,COL,2045,2.186869557
ENC,COL,2050,2.208317037
ENC,COL,2075,2.318751159
ENC,GAS,2010,4.433912686
ENC,GAS,2015,5.708214425
ENC,GAS,2020,6.043929147
ENC,GAS,2025,6.363744379
ENC,GAS,2030,7.325562535
ENC,GAS,2035,8.079959004
ENC,GAS,2040,8.472438769
ENC,GAS,2045,8.82217958
ENC,GAS,2050,9.161387739
ENC,GAS,2075,11.06338731
ENC,OIL,2010,14.62835692
ENC,OIL,2015,18.66406632
ENC,OIL,2020,21.53070001
ENC,OIL,2025,22.73249266
ENC,OIL,2030,24.22982518
ENC,OIL,2035,26.39950034
ENC,OIL,2040,27.51742813
ENC,OIL,2045,28.50805459
ENC,OIL,2050,29.46410829
ENC,OIL,2075,34.74736713
ENC,bio,2010,2.25
ENC,bio,2015,2.42
ENC,bio,2020,2.65
ENC,bio,2025,2.57
ENC,bio,2030,2.5
ENC,bio,2035,2.5
ENC,bio,2040,2.533799982
ENC,bio,2045,2.561284163
ENC,bio,2050,2.586403673
ENC,bio,2075,2.715745255
ENC,nuc,2010,0.71
ENC,nuc,2015,0.75
ENC,nuc,2020,0.76
ENC,nuc,2025,0.8
ENC,nuc,2030,0.84
ENC,nuc,2035,0.88
ENC,nuc,2040,0.891897594
ENC,nuc,2045,0.901572025
ENC,nuc,2050,0.910414093
ENC,nuc,2075,0.95594233
WNC,COL,2010,1.543553628
WNC,COL,2015,1.564124893
WNC,COL,2020,1.554668024
WNC,COL,2025,1.482265289
WNC,COL,2030,1.549322524
WNC,COL,2035,1.61432356
WNC,COL,2040,1.636149203
WNC,COL,2045,1.653896547
WNC,COL,2050,1.670116954
WNC,COL,2075,1.753636619
WNC,GAS,2010,4.764097509
WNC,GAS,2015,5.997877904
WNC,GAS,2020,6.279485533
WNC,GAS,2025,6.419000101
WNC,GAS,2030,7.504981381
WNC,GAS,2035,8.409255829
WNC,GAS,2040,8.817731014
WNC,GAS,2045,9.181725429
WNC,GAS,2050,9.534757937
WNC,GAS,2075,11.51427305
WNC,OIL,2010,14.62835692
WNC,OIL,2015,18.66406632
WNC,OIL,2020,21.53070001
WNC,OIL,2025,22.73249266
WNC,OIL,2030,24.22982518
WNC,OIL,2035,26.39950034
WNC,OIL,2040,27.51742813
WNC,OIL,2045,28.50805459
WNC,OIL,2050,29.46410829
WNC,OIL,2075,34.74736713
WNC,bio,2010,2.25
WNC,bio,2015,2.42
WNC,bio,2020,2.65
WNC,bio,2025,2.57
WNC,bio,2030,2.5
WNC,bio,2035,2.5
WNC,bio,2040,2.533799982
WNC,bio,2045,2.561284163
WNC,bio,2050,2.586403673
WNC,bio,2075,2.715745255
WNC,nuc,2010,0.71
WNC,nuc,2015,0.75
WNC,nuc,2020,0.76
WNC,nuc,2025,0.8
WNC,nuc,2030,0.84
WNC,nuc,2035,0.88
WNC,nuc,2040,0.891897594
WNC,nuc,2045,0.901572025
WNC,nuc,2050,0.910414093
WNC,nuc,2075,0.95594233
FL,COL,2010,2.949385166
FL,COL,2015,2.679947848
FL,COL,2020,2.558538341
FL,COL,2025,2.496409392
FL,COL,2030,2.504074812
FL,COL,2035,2.547563016
FL,COL,2040,2.572525754
FL,COL,2045,2.595070676
FL,COL,2050,2.616767635
FL,COL,2075,2.728004027
FL,GAS,2010,6.046497336
FL,GAS,2015,7.790853872
FL,GAS,2020,8.055017801
FL,GAS,2025,8.457963854
FL,GAS,2030,9.410022274
FL,GAS,2035,9.973645474
FL,GAS,2040,10.35870903
FL,GAS,2045,10.72866016
FL,GAS,2050,11.0997482
FL,GAS,2075,13.1568316
FL,OIL,2010,14.62835692
FL,OIL,2015,18.66406632
FL,OIL,2020,21.53070001
FL,OIL,2025,22.73249266
FL,OIL,2030,24.22982518
FL,OIL,2035,26.39950034
FL,OIL,2040,27.51742813
FL,OIL,2045,28.50805459
FL,OIL,2050,29.46410829
FL,OIL,2075,34.74736713
FL,bio,2010,2.25
FL,bio,2015,2.42
FL,bio,2020,2.65
FL,bio,2025,2.57
FL,bio,2030,2.5
FL,bio,2035,2.5
FL,bio,2040,2.524496683
FL,bio,2045,2.546620692
FL,bio,2050,2.567912568
FL,bio,2075,2.677072175
FL,nuc,2010,0.71
FL,nuc,2015,0.75
FL,nuc,2020,0.76
FL,nuc,2025,0.8
FL,nuc,2030,0.84
FL,nuc,2035,0.88
FL,nuc,2040,0.888622833
FL,nuc,2045,0.896410483
FL,nuc,2050,0.903905224
FL,nuc,2075,0.942329406
SAC,COL,2010,2.949385166
SAC,COL,2015,2.679947848
SAC,COL,2020,2.558538341
SAC,COL,2025,2.496409392
SAC,COL,2030,2.504074812
SAC,COL,2035,2.547563016
SAC,COL,2040,2.572525754
SAC,COL,2045,2.595070676
SAC,COL,2050,2.616767635
SAC,COL,2075,2.728004027
SAC,GAS,2010,6.046497336
SAC,GAS,2015,7.790853872
SAC,GAS,2020,8.055017801
SAC,GAS,2025,8.457963854
SAC,GAS,2030,9.410022274
SAC,GAS,2035,9.973645474
SAC,GAS,2040,10.35870903
SAC,GAS,2045,10.72866016
SAC,GAS,2050,11.0997482
SAC,GAS,2075,13.1568316
SAC,OIL,2010,14.62835692
SAC,OIL,2015,18.66406632
SAC,OIL,2020,21.53070001
SAC,OIL,2025,22.73249266
SAC,OIL,2030,24.22982518
SAC,OIL,2035,26.39950034
SAC,OIL,2040,27.51742813
SAC,OIL,2045,28.50805459
SAC,OIL,2050,29.46410829
SAC,OIL,2075,34.74736713
SAC,bio,2010,2.25
SAC,bio,2015,2.42
SAC,bio,2020,2.65
SAC,bio,2025,2.57
SAC,bio,2030,2.5
SAC,bio,2035,2.5
SAC,bio,2040,2.524496683
SAC,bio,2045,2.546620692
SAC,bio,2050,2.567912568
SAC,bio,2075,2.677072175
SAC,nuc,2010,0.71
SAC,nuc,2015,0.75
SAC,nuc,2020,0.76
SAC,nuc,2025,0.8
SAC,nuc,2030,0.84
SAC,nuc,2035,0.88
SAC,nuc,2040,0.888622833
SAC,nuc,2045,0.896410483
SAC,nuc,2050,0.903905224
SAC,nuc,2075,0.942329406
ESC,COL,2010,2.291946325
ESC,COL,2015,2.276033444
ESC,COL,2020,2.247866809
ESC,COL,2025,2.202427482
ESC,COL,2030,2.232378353
ESC,COL,2035,2.29429303
ESC,COL,2040,2.325321673
ESC,COL,2045,2.350550053
ESC,COL,2050,2.373606718
ESC,COL,2075,2.4923272
ESC,GAS,2010,4.826820861
ESC,GAS,2015,6.033724382
ESC,GAS,2020,6.282731567
ESC,GAS,2025,6.809284459
ESC,GAS,2030,7.865120166
ESC,GAS,2035,8.605680557
ESC,GAS,2040,9.020461132
ESC,GAS,2045,9.390933079
ESC,GAS,2050,9.750644614
ESC,GAS,2075,11.76674219
ESC,OIL,2010,14.62835692
ESC,OIL,2015,18.66406632
ESC,OIL,2020,21.53070001
ESC,OIL,2025,22.73249266
ESC,OIL,2030,24.22982518
ESC,OIL,2035,26.39950034
ESC,OIL,2040,27.51742813
ESC,OIL,2045,28.50805459
ESC,OIL,2050,29.46410829
ESC,OIL,2075,34.74736713
ESC,bio,2010,2.25
ESC,bio,2015,2.42
ESC,bio,2020,2.65
ESC,bio,2025,2.57
ESC,bio,2030,2.5
ESC,bio,2035,2.5
ESC,bio,2040,2.53381068
ESC,bio,2045,2.561301044
ESC,bio,2050,2.586424976
ESC,bio,2075,2.715789971
ESC,nuc,2010,0.71
ESC,nuc,2015,0.75
ESC,nuc,2020,0.76
ESC,nuc,2025,0.8
ESC,nuc,2030,0.84
ESC,nuc,2035,0.88
ESC,nuc,2040,0.89190136
ESC,nuc,2045,0.901577967
ESC,nuc,2050,0.910421592
ESC,nuc,2075,0.95595807
TX,COL,2010,1.552810646
TX,COL,2015,1.699203593
TX,COL,2020,1.759339183
TX,COL,2025,1.845886015
TX,COL,2030,1.926122087
TX,COL,2035,2.000690219
TX,COL,2040,2.027748098
TX,COL,2045,2.049747978
TX,COL,2050,2.06985406
TX,COL,2075,2.173381772
TX,GAS,2010,4.528017802
TX,GAS,2015,5.708214425
TX,GAS,2020,6.043929147
TX,GAS,2025,6.499046624
TX,GAS,2030,7.548274885
TX,GAS,2035,8.381711411
TX,GAS,2040,8.785697018
TX,GAS,2045,9.146527161
TX,GAS,2050,9.496876939
TX,GAS,2075,11.4605041
TX,OIL,2010,16.06915082
TX,OIL,2015,18.9787402
TX,OIL,2020,21.680533
TX,OIL,2025,22.77242626
TX,OIL,2030,24.22982518
TX,OIL,2035,26.39950034
TX,OIL,2040,27.51742813
TX,OIL,2045,28.50805459
TX,OIL,2050,29.46410829
TX,OIL,2075,34.74736713
TX,bio,2010,2.25
TX,bio,2015,2.42
TX,bio,2020,2.65
TX,bio,2025,2.57
TX,bio,2030,2.5
TX,bio,2035,2.5
TX,bio,2040,2.53381068
TX,bio,2045,2.561301044
TX,bio,2050,2.586424976
TX,bio,2075,2.715789971
TX,nuc,2010,0.71
TX,nuc,2015,0.75
TX,nuc,2020,0.76
TX,nuc,2025,0.8
TX,nuc,2030,0.84
TX,nuc,2035,0.88
TX,nuc,2040,0.89190136
TX,nuc,2045,0.901577967
TX,nuc,2050,0.910421592
TX,nuc,2075,0.95595807
WSC,COL,2010,1.552810646
WSC,COL,2015,1.699203593
WSC,COL,2020,1.759339183
WSC,COL,2025,1.845886015
WSC,COL,2030,1.926122087
WSC,COL,2035,2.000690219
WSC,COL,2040,2.027748098
WSC,COL,2045,2.049747978
WSC,COL,2050,2.06985406
WSC,COL,2075,2.173381772
WSC,GAS,2010,4.528017802
WSC,GAS,2015,5.708214425
WSC,GAS,2020,6.043929147
WSC,GAS,2025,6.499046624
WSC,GAS,2030,7.548274885
WSC,GAS,2035,8.381711411
WSC,GAS,2040,8.785697018
WSC,GAS,2045,9.146527161
WSC,GAS,2050,9.496876939
WSC,GAS,2075,11.4605041
WSC,OIL,2010,16.06915082
WSC,OIL,2015,18.9787402
WSC,OIL,2020,21.680533
WSC,OIL,2025,22.77242626
WSC,OIL,2030,24.22982518
WSC,OIL,2035,26.39950034
WSC,OIL,2040,27.51742813
WSC,OIL,2045,28.50805459
WSC,OIL,2050,29.46410829
WSC,OIL,2075,34.74736713
WSC,bio,2010,2.25
WSC,bio,2015,2.42
WSC,bio,2020,2.65
WSC,bio,2025,2.57
WSC,bio,2030,2.5
WSC,bio,2035,2.5
WSC,bio,2040,2.53381068
WSC,bio,2045,2.561301044
WSC,bio,2050,2.586424976
WSC,bio,2075,2.715789971
WSC,nuc,2010,0.71
WSC,nuc,2015,0.75
WSC,nuc,2020,0.76
WSC,nuc,2025,0.8
WSC,nuc,2030,0.84
WSC,nuc,2035,0.88
WSC,nuc,2040,0.89190136
WSC,nuc,2045,0.901577967
WSC,nuc,2050,0.910421592
WSC,nuc,2075,0.95595807
MTN,COL,2010,1.593388648
MTN,COL,2015,1.586184739
MTN,COL,2020,1.587812392
MTN,COL,2025,1.584586961
MTN,COL,2030,1.628687081
MTN,COL,2035,1.740873565
MTN,COL,2040,1.778828675
MTN,COL,2045,1.806354399
MTN,COL,2050,1.82986885
MTN,COL,2075,1.95211312
MTN,GAS,2010,5.154140809
MTN,GAS,2015,6.211390926
MTN,GAS,2020,6.948559
MTN,GAS,2025,6.749972997
MTN,GAS,2030,7.789708334
MTN,GAS,2035,8.674272731
MTN,GAS,2040,9.116523034
MTN,GAS,2045,9.505094164
MTN,GAS,2050,9.879407537
MTN,GAS,2075,11.98404103
MTN,OIL,2010,15.52857007
MTN,OIL,2015,18.97628852
MTN,OIL,2020,21.89384275
MTN,OIL,2025,23.05569284
MTN,OIL,2030,24.36728216
MTN,OIL,2035,26.39950034
MTN,OIL,2040,27.51742813
MTN,OIL,2045,28.50805459
MTN,OIL,2050,29.46410829
MTN,OIL,2075,34.74736713
MTN,bio,2010,2.25
MTN,bio,2015,2.42
MTN,bio,2020,2.65
MTN,bio,2025,2.57
MTN,bio,2030,2.5
MTN,bio,2035,2.5
MTN,bio,2040,2.554505839
MTN,bio,2045,2.594034448
MTN,bio,2050,2.627802626
MTN,bio,2075,2.80335281
MTN,nuc,2010,0.71
MTN,nuc,2015,0.75
MTN,nuc,2020,0.76
MTN,nuc,2025,0.8
MTN,nuc,2030,0.84
MTN,nuc,2035,0.88
MTN,nuc,2040,0.899186055
MTN,nuc,2045,0.913100126
MTN,nuc,2050,0.924986524
MTN,nuc,2075,0.986780189
CA,COL,2010,2.30594826
CA,COL,2015,2.175575331
CA,COL,2020,2.195296714
CA,COL,2025,2.200834854
CA,COL,2030,2.253487362
CA,COL,2035,2.325156623
CA,COL,2040,2.324040501
CA,COL,2045,2.331001891
CA,COL,2050,2.341145742
CA,COL,2075,2.392530999
CA,GAS,2010,5.037053853
CA,GAS,2015,5.984761907
CA,GAS,2020,6.646899308
CA,GAS,2025,6.541113207
CA,GAS,2030,7.56600909
CA,GAS,2035,8.465265628
CA,GAS,2040,8.87646146
CA,GAS,2045,9.242880258
CA,GAS,2050,9.598264137
CA,GAS,2075,11.5909638
CA,OIL,2010,20.37543465
CA,OIL,2015,24.49202264
CA,OIL,2020,25.90192793
CA,OIL,2025,26.75852068
CA,OIL,2030,28.20899945
CA,OIL,2035,29.66839201
CA,OIL,2040,30.581176
CA,OIL,2045,31.48412976
CA,OIL,2050,32.398551
CA,OIL,2075,37.38479941
CA,bio,2010,2.25
CA,bio,2015,2.42
CA,bio,2020,2.65
CA,bio,2025,2.57
CA,bio,2030,2.5
CA,bio,2035,2.5
CA,bio,2040,2.498799949
CA,bio,2045,2.506284811
CA,bio,2050,2.517191443
CA,bio,2075,2.572440685
CA,nuc,2010,0.71
CA,nuc,2015,0.75
CA,nuc,2020,0.76
CA,nuc,2025,0.8
CA,nuc,2030,0.84
CA,nuc,2035,0.88
CA,nuc,2040,0.879577582
CA,nuc,2045,0.882212253
CA,nuc,2050,0.886051388
CA,nuc,2075,0.905499121
PAC,COL,2010,2.30594826
PAC,COL,2015,2.175575331
PAC,COL,2020,2.195296714
PAC,COL,2025,2.200834854
PAC,COL,2030,2.253487362
PAC,COL,2035,2.325156623
PAC,COL,2040,2.324040501
PAC,COL,2045,2.331001891
PAC,COL,2050,2.341145742
PAC,COL,2075,2.392530999
PAC,GAS,2010,5.037053853
PAC,GAS,2015,5.984761907
PAC,GAS,2020,6.646899308
PAC,GAS,2025,6.541113207
PAC,GAS,2030,7.56600909
PAC,GAS,2035,8.465265628
PAC,GAS,2040,8.87646146
PAC,GAS,2045,9.242880258
PAC,GAS,2050,9.598264137
PAC,GAS,2075,11.5909638
PAC,OIL,2010,20.37543465
PAC,OIL,2015,24.49202264
PAC,OIL,2020,25.90192793
PAC,OIL,2025,26.75852068
PAC,OIL,2030,28.20899945
PAC,OIL,2035,29.66839201
PAC,OIL,2040,30.581176
PAC,OIL,2045,31.48412976
PAC,OIL,2050,32.398551
PAC,OIL,2075,37.38479941
PAC,bio,2010,2.25
PAC,bio,2015,2.42
PAC,bio,2020,2.65
PAC,bio,2025,2.57
PAC,bio,2030,2.5
PAC,bio,2035,2.5
PAC,bio,2040,2.498799949
PAC,bio,2045,2.506284811
PAC,bio,2050,2.517191443
PAC,bio,2075,2.572440685
PAC,nuc,2010,0.71
PAC,nuc,2015,0.75
PAC,nuc,2020,0.76
PAC,nuc,2025,0.8
PAC,nuc,2030,0.84
PAC,nuc,2035,0.88
PAC,nuc,2040,0.879577582
PAC,nuc,2045,0.882212253
PAC,nuc,2050,0.886051388
PAC,nuc,2075,0.905499121
