region,plant_type_full,Value
ESC,fc_N,48.99732548
ESC,geo_N_1,9.64
ESC,geo_N_2,9.64
ESC,geo_N_3,9.64
ESC,geo_N_4,9.64
ESC,geo_N_5,9.64
ESC,geo_N_6,9.64
ESC,geo_N_7,9.64
ESC,geo_N_8,9.64
ESC,geo_N_9,9.64
ESC,geo_N_10,9.64
TX,col_N,6.87
TX,col_Nccs,9.05
TX,ngcc_N,3.11
TX,ngcc_Nccs,6.45
TX,ngtb_N,9.87
TX,nuc_N,2.04
TX,bio_N,5
TX,lfg_N_hi,8.33
TX,lfg_N_lo,8.33
TX,lfg_N_vl,8.33
TX,fc_N,48.99732548
TX,geo_N_1,9.64
TX,geo_N_2,9.64
TX,geo_N_3,9.64
TX,geo_N_4,9.64
TX,geo_N_5,9.64
TX,geo_N_6,9.64
TX,geo_N_7,9.64
TX,geo_N_8,9.64
TX,geo_N_9,9.64
TX,geo_N_10,9.64
WSC,col_N,6.87
WSC,col_Nccs,9.05
WSC,ngcc_N,3.11
WSC,ngcc_Nccs,6.45
WSC,ngtb_N,9.87
WSC,nuc_N,2.04
WSC,bio_N,5
WSC,lfg_N_hi,8.33
WSC,lfg_N_lo,8.33
WSC,lfg_N_vl,8.33
WSC,fc_N,48.99732548
WSC,geo_N_1,9.64
WSC,geo_N_2,9.64
WSC,geo_N_3,9.64
WSC,geo_N_4,9.64
WSC,geo_N_5,9.64
WSC,geo_N_6,9.64
WSC,geo_N_7,9.64
WSC,geo_N_8,9.64
WSC,geo_N_9,9.64
WSC,geo_N_10,9.64
MTN,col_N,6.87
MTN,col_Nccs,9.05
MTN,ngcc_N,3.11
MTN,ngcc_Nccs,6.45
MTN,ngtb_N,9.87
MTN,nuc_N,2.04
MTN,bio_N,5
MTN,lfg_N_hi,8.33
MTN,lfg_N_lo,8.33
MTN,lfg_N_vl,8.33
MTN,fc_N,48.99732548
MTN,geo_N_1,9.64
MTN,geo_N_2,9.64
MTN,geo_N_3,9.64
MTN,geo_N_4,9.64
MTN,geo_N_5,9.64
MTN,geo_N_6,9.64
MTN,geo_N_7,9.64
MTN,geo_N_8,9.64
MTN,geo_N_9,9.64
MTN,geo_N_10,9.64
CA,col_N,6.87
CA,col_Nccs,9.05
CA,ngcc_N,3.11
CA,ngcc_Nccs,6.45
CA,ngtb_N,9.87
CA,nuc_N,2.04
CA,bio_N,5
CA,lfg_N_hi,8.33
CA,lfg_N_lo,8.33
CA,lfg_N_vl,8.33
CA,fc_N,48.99732548
CA,geo_N_1,9.64
CA,geo_N_2,9.64
CA,geo_N_3,9.64
CA,geo_N_4,9.64
CA,geo_N_5,9.64
CA,geo_N_6,9.64
CA,geo_N_7,9.64
CA,geo_N_8,9.64
CA,geo_N_9,9.64
CA,geo_N_10,9.64
PAC,col_N,6.87
PAC,col_Nccs,9.05
PAC,ngcc_N,3.11
PAC,ngcc_Nccs,6.45
PAC,ngtb_N,9.87
PAC,nuc_N,2.04
PAC,bio_N,5
PAC,lfg_N_hi,8.33
PAC,lfg_N_lo,8.33
PAC,lfg_N_vl,8.33
PAC,fc_N,48.99732548
PAC,geo_N_1,9.64
PAC,geo_N_2,9.64
PAC,geo_N_3,9.64
PAC,geo_N_4,9.64
PAC,geo_N_5,9.64
PAC,geo_N_6,9.64
PAC,geo_N_7,9.64
PAC,geo_N_8,9.64
PAC,geo_N_9,9.64
PAC,geo_N_10,9.64
