state,biostep,year,Value
MT,15,2020,5.559005555
NC,15,2020,5.559005555
ND,15,2020,5.559005555
NE,15,2020,5.559005555
NH,15,2020,5.559005555
NM,15,2020,5.559005555
NV,15,2020,5.559005555
OH,15,2020,5.559005555
OR,15,2020,5.559005555
RI,15,2020,5.559005555
SC,15,2020,5.559005555
SD,15,2020,5.559005555
TN,15,2020,5.559005555
UT,15,2020,5.559005555
VA,15,2020,5.559005555
VT,15,2020,5.559005555
WA,15,2020,5.559005555
WI,15,2020,5.559005555
WV,15,2020,5.559005555
WY,15,2020,5.559005555
AL,16,2020,5.836955832
AR,16,2020,5.836955832
AZ,16,2020,5.836955832
CA,16,2020,5.836955832
CO,16,2020,5.836955832
CT,16,2020,5.836955832
DC,16,2020,5.836955832
DE,16,2020,5.836955832
FL,16,2020,5.836955832
GA,16,2020,5.836955832
IA,16,2020,5.836955832
ID,16,2020,5.836955832
IL,16,2020,5.836955832
IN,16,2020,5.836955832
KS,16,2020,5.836955832
KY,16,2020,5.836955832
LA,16,2020,5.836955832
MA,16,2020,5.836955832
MD,16,2020,5.836955832
ME,16,2020,5.836955832
MI,16,2020,5.836955832
MN,16,2020,5.836955832
MO,16,2020,5.836955832
MS,16,2020,5.836955832
MT,16,2020,5.836955832
NC,16,2020,5.836955832
ND,16,2020,5.836955832
NE,16,2020,5.836955832
NH,16,2020,5.836955832
NM,16,2020,5.836955832
NV,16,2020,5.836955832
OH,16,2020,5.836955832
OK,16,2020,5.836955832
OR,16,2020,5.836955832
RI,16,2020,5.836955832
SC,16,2020,5.836955832
SD,16,2020,5.836955832
TN,16,2020,5.836955832
TX,16,2020,5.836955832
UT,16,2020,5.836955832
VA,16,2020,5.836955832
VT,16,2020,5.836955832
WA,16,2020,5.836955832
WI,16,2020,5.836955832
WV,16,2020,5.836955832
WY,16,2020,5.836955832
AL,17,2020,6.104215715
AZ,17,2020,6.104215715
CA,17,2020,6.104215715
CO,17,2020,6.104215715
CT,17,2020,6.104215715
DC,17,2020,6.104215715
DE,17,2020,6.104215715
FL,17,2020,6.104215715
GA,17,2020,6.104215715
IA,17,2020,6.104215715
ID,17,2020,6.104215715
IL,17,2020,6.104215715
IN,17,2020,6.104215715
KS,17,2020,6.104215715
KY,17,2020,6.104215715
MA,17,2020,6.104215715
MD,17,2020,6.104215715
ME,17,2020,6.104215715
MI,17,2020,6.104215715
MN,17,2020,6.104215715
MO,17,2020,6.104215715
MS,17,2020,6.104215715
MT,17,2020,6.104215715
NC,17,2020,6.104215715
ND,17,2020,6.104215715
NE,17,2020,6.104215715
NH,17,2020,6.104215715
NM,17,2020,6.104215715
NV,17,2020,6.104215715
OH,17,2020,6.104215715
OR,17,2020,6.104215715
RI,17,2020,6.104215715
SC,17,2020,6.104215715
SD,17,2020,6.104215715
TN,17,2020,6.104215715
UT,17,2020,6.104215715
VA,17,2020,6.104215715
VT,17,2020,6.104215715
WA,17,2020,6.104215715
WI,17,2020,6.104215715
WV,17,2020,6.104215715
WY,17,2020,6.104215715
