"state","plant_type_full","year","Value"
"SC","ngtb_X3",2020,2.1181
"SC","nuc_X",2020,6.8751
"SC","oth_X",2020,0.004
"SC","slr_X",2020,0.646
"SC","stog_X2",2020,2.6572
"SD","col_X2",2020,0.4536
"SD","hyd_X",2020,1.6484
"SD","ngcc_X1",2020,0.324
"SD","ngtb_X1",2020,0.3117
"SD","ngtb_X2",2020,0.4645
"SD","ngtb_X3",2020,0.3945
"SD","slr_X",2020,0.001
"SD","wnd_X",2020,1.1745
"TN","bio_X",2020,0.1857
"TN","col_X1",2020,3.93
"TN","col_X2",2020,2.9552
"TN","hyd_X",2020,2.5044
"TN","msw_X",2020,0.1357
"TN","ngcc_X1",2020,2.7722
"TN","ngtb_X1",2020,0.6586
"TN","ngtb_X2",2020,1.09
"TN","ngtb_X3",2020,3.17
"TN","nuc_X",2020,4.9808
"TN","oth_X",2020,0.3075
"TN","slr_X",2020,0.1835
"TN","stog_X2",2020,1.7136
"TN","wnd_X",2020,0.027
"TX","bio_X",2020,0.3132
"TX","col_X1",2020,2.8607
"TX","col_X2",2020,26.5052
"TX","col_X3",2020,8.9487
"TX","hyd_X",2020,0.6549
"TX","msw_X",2020,0.048
"TX","ngcc_X1",2020,46.7574
"TX","ngcc_X2",2020,0.1065
"TX","ngcc_X3",2020,0.08
"TX","ngtb_X1",2020,6.9558
"TX","ngtb_X2",2020,1.9282
"TX","ngtb_X3",2020,4.3123
"TX","nuc_X",2020,5.1386
"TX","oth_X",2020,0.251
"TX","slr_X",2020,2.4367
"TX","wnd_X",2020,28.0242
"UT","col_X1",2020,1.6813
"UT","col_X2",2020,3.114
"UT","col_X3",2020,0.3372
"UT","geo_X",2020,0.0838
"UT","hyd_X",2020,0.2646
"UT","ngcc_X1",2020,2.174
"UT","ngtb_X1",2020,0.3946
"UT","ngtb_X2",2020,0.1745
"UT","ngtb_X3",2020,0.2436
"UT","oth_X",2020,0.0098
"UT","slr_X",2020,0.9167
"UT","wnd_X",2020,0.3882
"VA","bio_X",2020,1.2843
"VA","col_X1",2020,0.1857
"VA","col_X2",2020,3.0569
"VA","col_X3",2020,2.6624
"VA","hyd_X",2020,0.8191
"VA","msw_X",2020,0.213
"VA","ngcc_X1",2020,7.0012
"VA","ngtb_X1",2020,2.3751
"VA","ngtb_X2",2020,2.5986
"VA","ngtb_X3",2020,0.8424
"VA","nuc_X",2020,3.6544
"VA","oth_X",2020,0.101
"VA","slr_X",2020,0.6246
"VA","stog_X2",2020,3.1093
"VT","bio_X",2020,0.0824
"VT","col_X1",2020,0.0014
"VT","hyd_X",2020,0.3247
"VT","ngtb_X1",2020,0.0216
"VT","ngtb_X3",2020,0.1589
"VT","oth_X",2020,0.0109
"VT","slr_X",2020,0.1194
"VT","wnd_X",2020,0.151
"WA","bio_X",2020,0.3051
"WA","col_X1",2020,0.1349
"WA","col_X2",2020,1.5238
"WA","hyd_X",2020,21.1006
"WA","msw_X",2020,0.026
"WA","ngcc_X1",2020,3.1528
"WA","ngtb_X1",2020,0.1835
"WA","ngtb_X2",2020,0.4531
"WA","ngtb_X3",2020,0.351
"WA","nuc_X",2020,1.2
"WA","oth_X",2020,0.0688
"WA","slr_X",2020,0.0197
"WA","stog_X1",2020,0.314
"WA","wnd_X",2020,3.0834
"WI","bio_X",2020,0.4402
"WI","col_X1",2020,2.9995
"WI","col_X2",2020,3.5792
"WI","col_X3",2020,0.295
"WI","hyd_X",2020,0.5379
"WI","msw_X",2020,0.1222
"WI","ngcc_X1",2020,3.0218
"WI","ngtb_X1",2020,1.1171
"WI","ngtb_X2",2020,1.2242
"WI","ngtb_X3",2020,2.3824
"WI","nuc_X",2020,1.286
"WI","oth_X",2020,0.0408
"WI","slr_X",2020,0.0404
"WI","wnd_X",2020,0.7348
"WV","col_X1",2020,5.1556
"WV","col_X2",2020,7.9359
"WV","col_X3",2020,0.0957
"WV","hyd_X",2020,0.3706
"WV","ngtb_X1",2020,0.344
"WV","ngtb_X2",2020,0.8724
"WV","ngtb_X3",2020,0.0185
"WV","oth_X",2020,0.0495
"WV","wnd_X",2020,0.6863
"WY","col_X1",2020,0.0862
"WY","col_X2",2020,6.6008
"WY","col_X3",2020,0.5823
"WY","hyd_X",2020,0.3018
"WY","ngcc_X1",2020,0.1
"WY","ngtb_X1",2020,0.237
"WY","ngtb_X2",2020,0.0497
"WY","ngtb_X3",2020,0.0675
"WY","oth_X",2020,0.0115
"WY","slr_X",2020,0.092
"WY","wnd_X",2020,1.5893
"AL","stog_X3",2020,1e-06
"AL","lfg_X",2020,1e-06
"AR","stog_X3",2020,1e-06
"AR","lfg_X",2020,1e-06
"AZ","stog_X3",2020,1e-06
"AZ","lfg_X",2020,1e-06
"CA","stog_X3",2020,1e-06
"CA","lfg_X",2020,1e-06
"CO","stog_X3",2020,1e-06
"CO","lfg_X",2020,1e-06
"CT","stog_X3",2020,1e-06
"CT","lfg_X",2020,1e-06
"DC","stog_X3",2020,1e-06
"DC","lfg_X",2020,1e-06
"DE","stog_X3",2020,1e-06
"DE","lfg_X",2020,1e-06
"FL","stog_X3",2020,1e-06
"FL","lfg_X",2020,1e-06
"GA","stog_X3",2020,1e-06
"GA","lfg_X",2020,1e-06
"IA","stog_X3",2020,1e-06
"IA","lfg_X",2020,1e-06
"ID","stog_X3",2020,1e-06
"ID","lfg_X",2020,1e-06
"IL","stog_X3",2020,1e-06
"IL","lfg_X",2020,1e-06
"IN","stog_X3",2020,1e-06
"IN","lfg_X",2020,1e-06
"KS","stog_X3",2020,1e-06
"KS","lfg_X",2020,1e-06
"KY","stog_X3",2020,1e-06
"KY","lfg_X",2020,1e-06
"LA","stog_X3",2020,1e-06
"LA","lfg_X",2020,1e-06
"MA","stog_X3",2020,1e-06
"MA","lfg_X",2020,1e-06
"MD","stog_X3",2020,1e-06
"MD","lfg_X",2020,1e-06
"ME","stog_X3",2020,1e-06
"ME","lfg_X",2020,1e-06
"MI","stog_X3",2020,1e-06
"MI","lfg_X",2020,1e-06
"MN","stog_X3",2020,1e-06
"MN","lfg_X",2020,1e-06
"MO","stog_X3",2020,1e-06
"MO","lfg_X",2020,1e-06
"MS","stog_X3",2020,1e-06
"MS","lfg_X",2020,1e-06
"MT","stog_X3",2020,1e-06
"MT","lfg_X",2020,1e-06
"NC","stog_X3",2020,1e-06
"NC","lfg_X",2020,1e-06
"ND","stog_X3",2020,1e-06
"ND","lfg_X",2020,1e-06
"NE","stog_X3",2020,1e-06
"NE","lfg_X",2020,1e-06
"NH","stog_X3",2020,1e-06
"NH","lfg_X",2020,1e-06
"NJ","stog_X3",2020,1e-06
"NJ","lfg_X",2020,1e-06
"NM","stog_X3",2020,1e-06
"NM","lfg_X",2020,1e-06
"NV","stog_X3",2020,1e-06
"NV","lfg_X",2020,1e-06
"NY","stog_X3",2020,1e-06
"NY","lfg_X",2020,1e-06
"OH","stog_X3",2020,1e-06
"OH","lfg_X",2020,1e-06
"OK","stog_X3",2020,1e-06
"OK","lfg_X",2020,1e-06
"OR","stog_X3",2020,1e-06
"OR","lfg_X",2020,1e-06
"PA","stog_X3",2020,1e-06
"PA","lfg_X",2020,1e-06
"RI","stog_X3",2020,1e-06
"RI","lfg_X",2020,1e-06
"SC","stog_X3",2020,1e-06
"SC","lfg_X",2020,1e-06
"SD","stog_X3",2020,1e-06
"SD","lfg_X",2020,1e-06
"TN","stog_X3",2020,1e-06
"TN","lfg_X",2020,1e-06
"TX","stog_X3",2020,1e-06
"TX","lfg_X",2020,1e-06
"UT","stog_X3",2020,1e-06
"UT","lfg_X",2020,1e-06
"VA","stog_X3",2020,1e-06
"VA","lfg_X",2020,1e-06
"VT","stog_X3",2020,1e-06
"VT","lfg_X",2020,1e-06
"WA","stog_X3",2020,1e-06
"WA","lfg_X",2020,1e-06
"WI","stog_X3",2020,1e-06
"WI","lfg_X",2020,1e-06
"WV","stog_X3",2020,1e-06
"WV","lfg_X",2020,1e-06
"WY","stog_X3",2020,1e-06
"WY","lfg_X",2020,1e-06
